ID,WIKI_PAGE,Health_Issues
e66912fa8bf67ef6c7fa974ac93bac72,Lindsey_Way,No relevant section found
fe332275caf5b3ecb55c1a5cd82a959a,William_Zabka,No relevant section found
a57ebea4e9bd96ea6ef1fa644ad627bb,Grace_Zabriskie,No relevant section found
0ed81342099b7e06040a4ebb8c01ac77,Mark_Zachares,No relevant section found
84b5a37e801b7eed243d049a17aa1720,Pia_Zadora,No relevant section found
44a89b724d3f4b683cf6dda035bf6903,Mike_S._Zafirovski,No relevant section found
e0d667a731a160c438f6c6ad4d493be4,Nina_Zagat,No relevant section found
9d330f0ec672bb24cba16076f7345fe5,Tim_Zagat,No relevant section found
dff88441adc1313ce3de0f872172b679,Mariel_Zagunis,No relevant section found
33af84f6a7d28e7b60c6c0908033b459,Mahmoud_Zahar,No relevant section found
37152a9ec51a4f5d7c583c75634ad2ee,Paula_Zahn,No relevant section found
312d2ad2b187dcc9bf376754d3b0bba7,Steve_Zahn,No relevant section found
1340931386b096c93aafc80494ce32ed,Steven_Zaillian,No relevant section found
a6bce1983bd609624e9ea6a407eecd66,Fareed_Zakaria,No relevant section found
6baff18e84f71aeccd019816d61c0a84,Sam_H._Zakhem,No relevant section found
3303b4ac36550d79954db971960a92ee,Zamfir,No relevant section found
74a81b931a30a47bb4204cf892eb8983,Sheree_Zampino,No relevant section found
dfaa926eeb68b8c30092809f22ca7f7a,Dominic_Zamprogna,No relevant section found
1513b9f81f01c42a7bc1421e82c1f9fb,Leyla_Zana,No relevant section found
abec48e88839309ce6e7e4e8998356d3,Edward_J._Zander,No relevant section found
2e854ad5ab90810ed07bdd476da18794,Robin_Zander,No relevant section found
1dec9935a850394fbbb40ed0f0b21cd0,Zane,No relevant section found
6ca1770e94d961c0b34ee3a7f7c80aa6,Billy_Zane,No relevant section found
8bcc305a98dab788a52cd21da4eee2df,Lisa_Zane,No relevant section found
21713fbe889a984d427222dff64b3959,Nick_Zano,No relevant section found
5a700125e1eb408f372a9e97bb311c3f,Krzysztof_Zanussi,No relevant section found
cc8c6cc760f12ef833e957e1c699f07c,Albert_C._Zapanta,No relevant section found
4110d7601d97602acfa10d8f6a96f43a,José_Luis_Rodríguez_Zapatero,No relevant section found
fad8aa75eb5d6f2a20a5e203b2c4aaa8,Ahmet_Zappa,No relevant section found
f46ae356463022a5be4460bfc3f6492e,Diva_Muffin_Zappa,No relevant section found
2ca871b8bad5bd9300d16e6b5b0845c2,Dweezil_Zappa,No relevant section found
32a0ae3862fd54894b533c874fe4e909,Moon_Unit_Zappa,No relevant section found
197c5ad49964a7adb6865ecc3636272d,Joseph_Zappala,No relevant section found
a31e3bcc2a22f48c754b66ca6d38027e,Zarathustra,No relevant section found
2ae27cd3dc8cfaab23227d470b72e076,Frank_G._Zarb,No relevant section found
ea15d5d35cfbb426abd8b1461417e650,Asif_Ali_Zardari,dementia
b930c90211c27574a2e76720594085bc,Peter_T._Zarella,No relevant section found
84ff1b560bd5c5e638b79ac00b499440,John_Zarrella,No relevant section found
f9a76869bb031a1932beb39dc10e7648,Valdis_Zatlers,No relevant section found
3280a2b52ac5b63858bfa607dd71f9d6,Ayman_al-Zawahiri,No relevant section found
a2ed5ee01deb1ddd1e4d508ebc6e5533,Jamie_Zawinski,No relevant section found
8f308b28cf9170dd7239235dbfa34f08,Natalie_Zea,No relevant section found
178a7fd62df9a15199ee208e696cf1bb,Ernesto_Zedillo,No relevant section found
1c65fc2e58555f0acebecb086c073129,Kevin_Zeese,No relevant section found
98822d0c126921a691f6418431fa3143,Kevin_Zegers,No relevant section found
084ca4499ed3d6b856a259e1801f6999,John_D._Zeglis,No relevant section found
15496f1664a03ef99d579023cd859f8f,Alfred_Zeien,No relevant section found
3319e0c49e42a55cb4fdf44b5c66d15f,Jochen_Zeitz,No relevant section found
e9dfa2d20712e12ad2c4b2c9ec0bd3cb,Manuel_Zelaya,No relevant section found
29314594470cf9d68c34136abe05f1f3,William_Zeliff,No relevant section found
113f31b6ba7102408c764ccfb33151fb,Philip_Zelikow,No relevant section found
6dd88210891739260979b6b3bb5610f7,Matthew_Zell,No relevant section found
c33827e3239f56df00208aa45c8de999,Samuel_Zell,No relevant section found
e910e6ce5b01a52b528d4c6f57bfbf8f,Renée_Zellweger,No relevant section found
84ab175b74c03dba413845936245c2ed,Strauss_Zelnick,No relevant section found
b862834fdf3a34fe2773efc9c262f91a,Roschdy_Zem,No relevant section found
9cc9a4f3c4d0b9192d9e77d9d9469472,Robert_Zemeckis,No relevant section found
dff3a7b0d5c1d5ce44c5f748a213b6e3,Jiang_Zemin,No relevant section found
2101fac84e89a593203b00843d5d2e55,Zendaya,No relevant section found
ec57db81b4ea4739eb595004d330a8f8,Anthony_Zerbe,No relevant section found
cb0cb5ccbb6377726d2f2189ac50f7d8,Catherine_Zeta-Jones,No relevant section found
256e50406414081159a06181d2098c11,Sarah_Zettel,No relevant section found
dfe687e9d6ba725d9cd3f65f2cc0e687,Zhang_Yimou,No relevant section found
b9ffc54b3d68daab0abafe8f06cb70f6,Ziyi_Zhang,No relevant section found
3bef558aa18760edc07e64008e154b23,Vladimir_Zhirinovsky,No relevant section found
19091cfb74865e79f5626e133c1a21b8,Khaleda_Zia,No relevant section found
c19dd52e9ece305dfebb2b547e8e2889,Zico,No relevant section found
dc9cad4a2a0501ebda0255911ad1fd7b,Zinédine_Zidane,No relevant section found
aa0af4444e929f473aae594eddb29db9,Claude_Zidi,No relevant section found
8fc39a7d2fe62ae57b812f9c8d463fc6,Annette_Ziegler,No relevant section found
47508362a66587f27d2852a4b08acbd5,John_Ziegler,No relevant section found
968123b744211c96099801a03a6c4adc,John_Bosley_Ziegler,No relevant section found
6539f9587797248bf805b1f27d703f11,James_L._Ziemer,No relevant section found
cf86904133358adcd88f82edc1756b9e,Ian_Ziering,No relevant section found
39f0bee37bbedbde9d82774407f3e8cc,Annette_Zilinskas,No relevant section found
672d5d5c4ebe4c7326c9abf3862116c4,Madeline_Zima,No relevant section found
d88f119e8e045ab5c41bf337eb83adc2,Stephanie_Zimbalist,No relevant section found
ee6572c77c53d7492680d9427946e191,Philip_Zimbardo,No relevant section found
0d59672f682a5b343b4dde8c24e0d3bc,Carl_Zimmer,No relevant section found
