ID,WIKI_PAGE,WIKI_ID
e66912fa8bf67ef6c7fa974ac93bac72,Lindsey_Way,Q609782
3d4a232524cde73e7b1725cdc663bb4b,Morton_Dauwen_Zabel,Q21552375
fe332275caf5b3ecb55c1a5cd82a959a,William_Zabka,Q966693
a57ebea4e9bd96ea6ef1fa644ad627bb,Grace_Zabriskie,Q242552
0ed81342099b7e06040a4ebb8c01ac77,Mark_Zachares,Q6770481
84b5a37e801b7eed243d049a17aa1720,Pia_Zadora,Q437039
b4f340696e06077b736e737f53cfc498,Saul_Zaentz,Q736466
44a89b724d3f4b683cf6dda035bf6903,Mike_S._Zafirovski,Q6848679
e0d667a731a160c438f6c6ad4d493be4,Nina_Zagat,Q7804542
9d330f0ec672bb24cba16076f7345fe5,Tim_Zagat,Q7804542
dff88441adc1313ce3de0f872172b679,Mariel_Zagunis,Q235756
33af84f6a7d28e7b60c6c0908033b459,Mahmoud_Zahar,Q708854
058bd4515a5aca0df5f6e88e5444fd0f,Babe_Zaharias,Q231983
11180f1a6f23cf45d5ff26434de24cc1,Fazlollah_Zahedi,Q1396878
37152a9ec51a4f5d7c583c75634ad2ee,Paula_Zahn,Q3090547
312d2ad2b187dcc9bf376754d3b0bba7,Steve_Zahn,Q491775
1340931386b096c93aafc80494ce32ed,Steven_Zaillian,Q291141
a6bce1983bd609624e9ea6a407eecd66,Fareed_Zakaria,Q333425
6baff18e84f71aeccd019816d61c0a84,Sam_H._Zakhem,Q81154532
f3a73d27161756c98925ee1c3269b2ef,Lorenzo_Zambrano,Q332226
3303b4ac36550d79954db971960a92ee,Zamfir,Q21501985
74a81b931a30a47bb4204cf892eb8983,Sheree_Zampino,Q40096
dfaa926eeb68b8c30092809f22ca7f7a,Dominic_Zamprogna,Q3034879
1513b9f81f01c42a7bc1421e82c1f9fb,Leyla_Zana,Q464689
abec48e88839309ce6e7e4e8998356d3,Edward_J._Zander,Q5346032
2e854ad5ab90810ed07bdd476da18794,Robin_Zander,Q1171273
1dec9935a850394fbbb40ed0f0b21cd0,Zane,Q104840665
6ca1770e94d961c0b34ee3a7f7c80aa6,Billy_Zane,Q205435
8bcc305a98dab788a52cd21da4eee2df,Lisa_Zane,Q26539
2f3500ff55b2ff3748bf21c964030593,Giuseppe_Zangara,Q2658306
8252f7982183b4e8cad98775a15683f8,Israel_Zangwill,Q113681
21713fbe889a984d427222dff64b3959,Nick_Zano,Q723067
3e75ebcdbf71ba82cc2a3d110b9cf42b,Darryl_F._Zanuck,Q364342
43be9895f0292326ca36c8f4c46a241d,Richard_D._Zanuck,Q359311
5a700125e1eb408f372a9e97bb311c3f,Krzysztof_Zanussi,Q55169
cc8c6cc760f12ef833e957e1c699f07c,Albert_C._Zapanta,Q14948784
f6fe899e9fa2895b7e70485992d60a3b,Emiliano_Zapata,Q41718
4110d7601d97602acfa10d8f6a96f43a,José_Luis_Rodríguez_Zapatero,Q41395
fad8aa75eb5d6f2a20a5e203b2c4aaa8,Ahmet_Zappa,Q401963
f46ae356463022a5be4460bfc3f6492e,Diva_Muffin_Zappa,Q2319135
2ca871b8bad5bd9300d16e6b5b0845c2,Dweezil_Zappa,Q127548
ebbd19cebaa6e86d5c7060f477be2510,Frank_Zappa,Q127330
32a0ae3862fd54894b533c874fe4e909,Moon_Unit_Zappa,Q291024
197c5ad49964a7adb6865ecc3636272d,Joseph_Zappala,Q57586019
73d5267809e7e7b8d505702942eb2056,Abraham_Zapruder,Q330752
a31e3bcc2a22f48c754b66ca6d38027e,Zarathustra,Q35811
2ae27cd3dc8cfaab23227d470b72e076,Frank_G._Zarb,Q5490549
ea15d5d35cfbb426abd8b1461417e650,Asif_Ali_Zardari,Q57373
b930c90211c27574a2e76720594085bc,Peter_T._Zarella,Q7177230
bb9063c571c09f34d78b1f2dfed6bdbd,Abu_Musab_al-Zarqawi,Q181049
84ff1b560bd5c5e638b79ac00b499440,John_Zarrella,Q796111
6dbd5fcd3acb59b306f475b7616e0fca,Jeffrey_Zaslow,Q4353515
f9a76869bb031a1932beb39dc10e7648,Valdis_Zatlers,Q182673
3280a2b52ac5b63858bfa607dd71f9d6,Ayman_al-Zawahiri,Q186316
a2ed5ee01deb1ddd1e4d508ebc6e5533,Jamie_Zawinski,Q92958
4511055f93af9dd9f7289045c10938c4,Hector_Zazou,Q2327625
8f308b28cf9170dd7239235dbfa34f08,Natalie_Zea,Q290281
178a7fd62df9a15199ee208e696cf1bb,Ernesto_Zedillo,Q298149
0a120366fe3e82308f1c312e1daee5fd,Pieter_Zeeman,Q79000
1c65fc2e58555f0acebecb086c073129,Kevin_Zeese,Q3195832
53e984295eaf6b14cf1c3fe831d69962,Franco_Zeffirelli,Q53040
98822d0c126921a691f6418431fa3143,Kevin_Zegers,Q311517
084ca4499ed3d6b856a259e1801f6999,John_D._Zeglis,Q6228361
15496f1664a03ef99d579023cd859f8f,Alfred_Zeien,Q113509774
20a8423a3acfc2a00df750d138afbe72,Solomon_Zeitlin,Q2299275
3319e0c49e42a55cb4fdf44b5c66d15f,Jochen_Zeitz,Q87552
e9dfa2d20712e12ad2c4b2c9ec0bd3cb,Manuel_Zelaya,Q191060
1cf498cf28fb8f06bed04ff0a9043332,Roger_Zelazny,Q295406
29314594470cf9d68c34136abe05f1f3,William_Zeliff,Q862681
113f31b6ba7102408c764ccfb33151fb,Philip_Zelikow,Q1489004
5620fa09dc49fd81869f578c0df7c29d,Harry_von_Zell,Q1586916
